"literal","code","standard","contributor","broader_uri","broader_term","uri"
"shinshoku","300435350","shinshoku","AAT Getty","http://vocab.getty.edu/aat/300435567","Shinto clergy","http://vocab.getty.edu/aat/300435350"
"altarpiece makers","300435121","altarpiece makers","AAT Getty","http://vocab.getty.edu/aat/300435119","altarpiece artists","http://vocab.getty.edu/aat/300435121"
"glass engravers","300435185","glass engravers","AAT Getty","http://vocab.getty.edu/aat/300435183","glass artists","http://vocab.getty.edu/aat/300435185"
"goldbeaters","300264832","goldbeaters","AAT Getty","http://vocab.getty.edu/aat/300435189","gold workers","http://vocab.getty.edu/aat/300264832"
"silversmiths","300025323","silversmiths","AAT Getty","http://vocab.getty.edu/aat/300435190","silver workers","http://vocab.getty.edu/aat/300025323"
"iron cutters","300435164","iron cutters","AAT Getty","http://vocab.getty.edu/aat/300435191","iron workers","http://vocab.getty.edu/aat/300435164"
"iron sculptors","300435169","iron sculptors","AAT Getty","http://vocab.getty.edu/aat/300435234","metal sculptors","http://vocab.getty.edu/aat/300435169"
"academic painters","300420017","academic painters","AAT Getty","http://vocab.getty.edu/aat/300420016","academic artists","http://vocab.getty.edu/aat/300420017"
"sun gods","300417304","sun gods","AAT Getty","http://vocab.getty.edu/aat/300412113","planetary gods","http://vocab.getty.edu/aat/300417304"
"tutelaries","300412149","tutelaries","AAT Getty","http://vocab.getty.edu/aat/300412150","guardian deities","http://vocab.getty.edu/aat/300412149"
"asianists","300417558","Asianists","AAT Getty","http://vocab.getty.edu/aat/300417556","<people in the humanities by area of speciality>","http://vocab.getty.edu/aat/300417558"
"dalai lamas","300412025","dalai lamas","AAT Getty","http://vocab.getty.edu/aat/300412024","lamas (Buddhist clergy)","http://vocab.getty.edu/aat/300412025"
"bhikkus","300412027","bhikkus","AAT Getty","http://vocab.getty.edu/aat/300412026","Buddhist clergy","http://vocab.getty.edu/aat/300412027"
"milkmaids","300404863","milkmaids","AAT Getty","http://vocab.getty.edu/aat/300404864","milkers","http://vocab.getty.edu/aat/300404863"
"caleseros","300311322","caleseros","AAT Getty","http://vocab.getty.edu/aat/300410345","coachmen","http://vocab.getty.edu/aat/300311322"
"map painters","300435160","map painters","AAT Getty","http://vocab.getty.edu/aat/300389858","mapmakers","http://vocab.getty.edu/aat/300435160"
"advertising artists","300386181","advertising artists","AAT Getty","http://vocab.getty.edu/aat/300386777","<artists by medium or work type>","http://vocab.getty.edu/aat/300386181"
"amateur artists","300386179","amateur artists","AAT Getty","http://vocab.getty.edu/aat/300386778","<artists by status or location>","http://vocab.getty.edu/aat/300386179"
"digital artists","300386183","digital artists","AAT Getty","http://vocab.getty.edu/aat/300386815","new media artists","http://vocab.getty.edu/aat/300386183"
"computer artists","300253822","computer artists","AAT Getty","http://vocab.getty.edu/aat/300386183","digital artists","http://vocab.getty.edu/aat/300253822"
"cut-paper artists","300435152","cut-paper artists","AAT Getty","http://vocab.getty.edu/aat/300386184","paper artists","http://vocab.getty.edu/aat/300435152"
"animal painters","300025161","animal painters","AAT Getty","http://vocab.getty.edu/aat/300386208","animal artists (animal subject)","http://vocab.getty.edu/aat/300025161"
"architectural painters","300254481","architectural painters","AAT Getty","http://vocab.getty.edu/aat/300386212","architectural artists","http://vocab.getty.edu/aat/300254481"
"history painters","300253811","history painters","AAT Getty","http://vocab.getty.edu/aat/300386215","history artists","http://vocab.getty.edu/aat/300253811"
"genre painters","300266117","genre painters","AAT Getty","http://vocab.getty.edu/aat/300386217","genre artists","http://vocab.getty.edu/aat/300266117"
"still life painters","300266118","still life painters","AAT Getty","http://vocab.getty.edu/aat/300386218","still life artists","http://vocab.getty.edu/aat/300266118"
"united states electors","300417536","United States electors","AAT Getty","http://vocab.getty.edu/aat/300386270","electors (general, people by activity)","http://vocab.getty.edu/aat/300417536"
"pargeters","300386332","pargeters","AAT Getty","http://vocab.getty.edu/aat/300386331","plasterwork artists","http://vocab.getty.edu/aat/300386332"
"tapestry artists","300435157","tapestry artists","AAT Getty","http://vocab.getty.edu/aat/300386333","textile artists","http://vocab.getty.edu/aat/300435157"
"alarifes","300311214","alarifes","AAT Getty","http://vocab.getty.edu/aat/300386353","master builders","http://vocab.getty.edu/aat/300311214"
"househusbands","300154331","househusbands","AAT Getty","http://vocab.getty.edu/aat/300386635","homemakers","http://vocab.getty.edu/aat/300154331"
"municipal officials","300386647","municipal officials","AAT Getty","http://vocab.getty.edu/aat/300386641","officials","http://vocab.getty.edu/aat/300386647"
"abstract artists","300386191","abstract artists","AAT Getty","http://vocab.getty.edu/aat/300386706","<artists by subject or style of work>","http://vocab.getty.edu/aat/300386191"
"nahualli","300417698","nahualli","AAT Getty","http://vocab.getty.edu/aat/300379459","wizards","http://vocab.getty.edu/aat/300417698"
"bacchantes","300379712","bacchantes","AAT Getty","http://vocab.getty.edu/aat/300379897","<ancient Greek and Roman clergy>","http://vocab.getty.edu/aat/300379712"
"archangels","300412110","archangels","AAT Getty","http://vocab.getty.edu/aat/300379004","angels (spirits)","http://vocab.getty.edu/aat/300412110"
"angels (spirits)","300379004","angels (spirits)","AAT Getty","http://vocab.getty.edu/aat/300379007","spirits (beings)","http://vocab.getty.edu/aat/300379004"
"naiads","300380061","naiads","AAT Getty","http://vocab.getty.edu/aat/300379159","nymphs","http://vocab.getty.edu/aat/300380061"
"creator gods","300412038","creator gods","AAT Getty","http://vocab.getty.edu/aat/300343850","deities","http://vocab.getty.edu/aat/300412038"
"earth mothers (deities)","300412036","earth mothers (deities)","AAT Getty","http://vocab.getty.edu/aat/300343852","goddesses","http://vocab.getty.edu/aat/300412036"
"fishwives","300379346","fishwives","AAT Getty","http://vocab.getty.edu/aat/300265789","fishmongers","http://vocab.getty.edu/aat/300379346"
"turntablists","300265806","turntablists","AAT Getty","http://vocab.getty.edu/aat/300265803","disc jockeys","http://vocab.getty.edu/aat/300265806"
