"literal","code","standard","contributor","broader_code","broader_term","uri","broader_uri"
"tutelaries","300412149","tutelaries","AAT Getty NL","300412150","beschermgoden","http://vocab.getty.edu/aat/300412149","http://vocab.getty.edu/aat/300412150"
"bhikkhu's","300412027","bhikkhu's","AAT Getty NL","300412026","boeddhistische geestelijken","http://vocab.getty.edu/aat/300412027","http://vocab.getty.edu/aat/300412026"
"melksters","300404863","melksters","AAT Getty NL","300404864","melkers","http://vocab.getty.edu/aat/300404863","http://vocab.getty.edu/aat/300404864"
"aartsengelen","300412110","aartsengelen","AAT Getty NL","300379004","engelen","http://vocab.getty.edu/aat/300412110","http://vocab.getty.edu/aat/300379004"
"scheppersgoden","300412038","scheppersgoden","AAT Getty NL","300343850","godheden","http://vocab.getty.edu/aat/300412038","http://vocab.getty.edu/aat/300343850"
"oermoeders","300412036","oermoeders (godheden)","AAT Getty NL","300343852","godinnen","http://vocab.getty.edu/aat/300412036","http://vocab.getty.edu/aat/300343852"
"turntablisten","300265806","turntablisten","AAT Getty NL","300265803","diskjockeys","http://vocab.getty.edu/aat/300265806","http://vocab.getty.edu/aat/300265803"
"teocuitlatzotzonque","300404921","teocuitlatzotzonque","AAT Getty NL","300264832","goudslagers","http://vocab.getty.edu/aat/300404921","http://vocab.getty.edu/aat/300264832"
"black indian","300263269","Black Indian","AAT Getty NL","300263463","gemaskerden","http://vocab.getty.edu/aat/300263269","http://vocab.getty.edu/aat/300263463"
"mardi gras-indianen","300263942","Mardi Gras-indianen","AAT Getty NL","300263269","Black Indian","http://vocab.getty.edu/aat/300263942","http://vocab.getty.edu/aat/300263269"
"ninja's","300391090","ninja's","AAT Getty NL","300261945","krijgers","http://vocab.getty.edu/aat/300391090","http://vocab.getty.edu/aat/300261945"
"outsiderkunstenaars","300266229","outsiderkunstenaars","AAT Getty NL","300257252","autodidactische kunstenaars","http://vocab.getty.edu/aat/300266229","http://vocab.getty.edu/aat/300257252"
"padisjahs","300264272","padisjahs","AAT Getty NL","300258669","sjahs","http://vocab.getty.edu/aat/300264272","http://vocab.getty.edu/aat/300258669"
"griottes","300260319","griottes","AAT Getty NL","300260302","griots","http://vocab.getty.edu/aat/300260319","http://vocab.getty.edu/aat/300260302"
"geologen","300025799","geologen","AAT Getty NL","300254368","aardwetenschappers","http://vocab.getty.edu/aat/300025799","http://vocab.getty.edu/aat/300254368"
"tijdrekenkundigen","300252014","tijdrekenkundigen","AAT Getty NL","300252020","<personen in interdisciplinaire vakgebieden>","http://vocab.getty.edu/aat/300252014","http://vocab.getty.edu/aat/300252020"
"borduurders","300025352","borduurders","AAT Getty NL","300252058","naaldwerkers","http://vocab.getty.edu/aat/300025352","http://vocab.getty.edu/aat/300252058"
"kabinetsleden","300136387","kabinetsleden","AAT Getty NL","300250373","ministers (overheidsfunctionarissen)","http://vocab.getty.edu/aat/300136387","http://vocab.getty.edu/aat/300250373"
